,location,crop,season,indicator,Unit,Date,Value,State,mean
211,Adilabad,Jowar,Kharif,Area (In Hectare),hectare,2000,50587.0,Telangana,79.6026315789
212,Adilabad,Jowar,Kharif,Area (In Hectare),hectare,2001,47373.0,Telangana,79.6026315789
213,Adilabad,Jowar,Kharif,Area (In Hectare),hectare,2002,37111.0,Telangana,79.6026315789
214,Adilabad,Jowar,Kharif,Area (In Hectare),hectare,2003,39286.0,Telangana,79.6026315789
215,Adilabad,Jowar,Kharif,Area (In Hectare),hectare,2004,35410.0,Telangana,79.6026315789
216,Adilabad,Jowar,Kharif,Area (In Hectare),hectare,2005,27163.0,Telangana,79.6026315789
217,Adilabad,Jowar,Kharif,Area (In Hectare),hectare,2006,24420.0,Telangana,79.6026315789
218,Adilabad,Jowar,Kharif,Area (In Hectare),hectare,2007,20073.0,Telangana,79.6026315789
219,Adilabad,Jowar,Kharif,Area (In Hectare),hectare,2008,23000.0,Telangana,79.6026315789
220,Adilabad,Jowar,Kharif,Area (In Hectare),hectare,2009,20019.0,Telangana,79.6026315789
221,Adilabad,Jowar,Kharif,Area (In Hectare),hectare,2010,29030.0,Telangana,79.6026315789
222,Adilabad,Jowar,Kharif,Area (In Hectare),hectare,2011,26185.0,Telangana,79.6026315789
223,Adilabad,Jowar,Kharif,Area (In Hectare),hectare,2012,17306.0,Telangana,79.6026315789
224,Adilabad,Jowar,Kharif,Production (In Tonnes),tonnes,1999,60400.0,Telangana,79.6026315789
225,Adilabad,Jowar,Kharif,Production (In Tonnes),tonnes,2000,62171.0,Telangana,79.6026315789
226,Adilabad,Jowar,Kharif,Production (In Tonnes),tonnes,2001,75749.0,Telangana,79.6026315789
227,Adilabad,Jowar,Kharif,Production (In Tonnes),tonnes,2002,62161.0,Telangana,79.6026315789
228,Adilabad,Jowar,Kharif,Production (In Tonnes),tonnes,2003,60461.0,Telangana,79.6026315789
229,Adilabad,Jowar,Kharif,Production (In Tonnes),tonnes,2004,51097.0,Telangana,79.6026315789
230,Adilabad,Jowar,Kharif,Production (In Tonnes),tonnes,2005,42483.0,Telangana,79.6026315789
231,Adilabad,Jowar,Kharif,Production (In Tonnes),tonnes,2006,45690.0,Telangana,79.6026315789
232,Adilabad,Jowar,Kharif,Production (In Tonnes),tonnes,2007,30391.0,Telangana,79.6026315789
233,Adilabad,Jowar,Kharif,Production (In Tonnes),tonnes,2008,54000.0,Telangana,79.6026315789
234,Adilabad,Jowar,Kharif,Production (In Tonnes),tonnes,2009,35714.0,Telangana,79.6026315789
235,Adilabad,Jowar,Kharif,Production (In Tonnes),tonnes,2010,51151.0,Telangana,79.6026315789
